direction,header,value,algorithm,library,severity,url
"RESPONSE","x-frame-options","","","","MEDIUM","https://js-eu1.hs-analytics.net/analytics/1773400200000/25525864.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://js-eu1.hs-analytics.net/analytics/1773400200000/25525864.js"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/user?preferred_locale=en&city=New%20York&country=U"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/user?preferred_locale=en&city=New%20York&country=U"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/user?preferred_locale=en&city=New%20York&country=U"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/user?preferred_locale=en&city=New%20York&country=U"
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-main-d1c461b."
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-main-d1c461b."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-main-d1c461b."
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-main-d1c461b."
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://load.d.neilpatel.com/analytics.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://load.d.neilpatel.com/analytics.js"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://script.hotjar.com/modules.ddd41caee2adfc4aedb8.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://script.hotjar.com/modules.ddd41caee2adfc4aedb8.js"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://script.hotjar.com/modules.ddd41caee2adfc4aedb8.js"
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/user/limits"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/user/limits"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/user/limits"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/user/limits"
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/projects"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/projects"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/projects"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/projects"
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/addons"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/addons"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/addons"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/addons"
"RESPONSE","strict-transport-security","","","","HIGH","https://www.google.com/recaptcha/api.js"
"RESPONSE","content-security-policy","","","","HIGH","https://www.google.com/recaptcha/api.js"
"RESPONSE","server","ESF","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=AW-348714864&cx=c&gtm=4e63b1"
"RESPONSE","x-frame-options","","","","MEDIUM","https://load.d.neilpatel.com/gtag/js?id=AW-348714864&cx=c&gtm=4e63b1"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=AW-348714864&cx=c&gtm=4e63b1"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4754-d1c461b."
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4754-d1c461b."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4754-d1c461b."
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4754-d1c461b."
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-6727-d1c461b."
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-6727-d1c461b."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-6727-d1c461b."
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-6727-d1c461b."
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4439-d1c461b."
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4439-d1c461b."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4439-d1c461b."
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4439-d1c461b."
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-locales/messe"
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-locales/messe"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-locales/messe"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-locales/messe"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4256-d1c461b."
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4256-d1c461b."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4256-d1c461b."
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/web_widget/messenger/latest/web-widget-4256-d1c461b."
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://dev.visualwebsiteoptimizer.com/j.php?a=500967&u=https%3A%2F%2Fapp.neilpa"
"RESPONSE","x-frame-options","","","","MEDIUM","https://dev.visualwebsiteoptimizer.com/j.php?a=500967&u=https%3A%2F%2Fapp.neilpa"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://dev.visualwebsiteoptimizer.com/j.php?a=500967&u=https%3A%2F%2Fapp.neilpa"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://dev.visualwebsiteoptimizer.com/j.php?a=500967&u=https%3A%2F%2Fapp.neilpa"
"RESPONSE","server","gnv1","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=CC367VRC77UBH2MM6DN0&lib"
"RESPONSE","content-security-policy","","","","HIGH","https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=CC367VRC77UBH2MM6DN0&lib"
"RESPONSE","x-frame-options","","","","MEDIUM","https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=CC367VRC77UBH2MM6DN0&lib"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=CC367VRC77UBH2MM6DN0&lib"
"RESPONSE","server","nginx","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://www.clarity.ms/tag/add?ref=gtm"
"RESPONSE","content-security-policy","","","","HIGH","https://www.clarity.ms/tag/add?ref=gtm"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.clarity.ms/tag/add?ref=gtm"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.clarity.ms/tag/add?ref=gtm"
"RESPONSE","server","nginx","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://cdn.growthbook.io/api/features/sdk-whZBmZ6VQkXVFPy5"
"RESPONSE","content-security-policy","","","","HIGH","https://cdn.growthbook.io/api/features/sdk-whZBmZ6VQkXVFPy5"
"RESPONSE","x-frame-options","","","","MEDIUM","https://cdn.growthbook.io/api/features/sdk-whZBmZ6VQkXVFPy5"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://cdn.growthbook.io/api/features/sdk-whZBmZ6VQkXVFPy5"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://cdn.growthbook.io/api/features/sdk-whZBmZ6VQkXVFPy5"
"RESPONSE","x-powered-by","Express","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=G-PE1RZ8MRZD&cx=c&gtm=4e63b1"
"RESPONSE","x-frame-options","","","","MEDIUM","https://load.d.neilpatel.com/gtag/js?id=G-PE1RZ8MRZD&cx=c&gtm=4e63b1"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=G-PE1RZ8MRZD&cx=c&gtm=4e63b1"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://analytics.google.com/g/collect?a=adblocker_check"
"RESPONSE","content-security-policy","","","","HIGH","https://analytics.google.com/g/collect?a=adblocker_check"
"RESPONSE","x-frame-options","","","","MEDIUM","https://analytics.google.com/g/collect?a=adblocker_check"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://analytics.google.com/g/collect?a=adblocker_check"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://analytics.google.com/g/collect?a=adblocker_check"
"RESPONSE","server","Golfe2","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilp"
"RESPONSE","content-security-policy","","","","HIGH","https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilp"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilp"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilp"
"RESPONSE","strict-transport-security","","","","HIGH","https://www.google.com/ccm/collect?frm=0&ae=g&dl=https%3A%2F%2Fapp.neilpatel.com"
"RESPONSE","content-security-policy","","","","HIGH","https://www.google.com/ccm/collect?frm=0&ae=g&dl=https%3A%2F%2Fapp.neilpatel.com"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&ae=g&dl=https%3A%2F%2Fapp.neilpatel.com"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&ae=g&dl=https%3A%2F%2Fapp.neilpatel.com"
"RESPONSE","strict-transport-security","","","","HIGH","https://www.google.com/ccm/collect?frm=0&ae=g&en=page_view&dl=https%3A%2F%2Fapp."
"RESPONSE","content-security-policy","","","","HIGH","https://www.google.com/ccm/collect?frm=0&ae=g&en=page_view&dl=https%3A%2F%2Fapp."
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&ae=g&en=page_view&dl=https%3A%2F%2Fapp."
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.google.com/ccm/collect?frm=0&ae=g&en=page_view&dl=https%3A%2F%2Fapp."
"RESPONSE","content-security-policy","","","","HIGH","https://bat.bing.com/bat.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://bat.bing.com/bat.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://bat.bing.com/bat.js"
"RESPONSE","content-security-policy","","","","HIGH","https://api-eu1.hubapi.com/hs-script-loader-public/v2/config/pixels-and-events/j"
"RESPONSE","x-frame-options","","","","MEDIUM","https://api-eu1.hubapi.com/hs-script-loader-public/v2/config/pixels-and-events/j"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://t.neilpatel.com/v1/lst/universal-script?ph=2bee8320da5f442befa66db82b48e"
"RESPONSE","x-frame-options","","","","MEDIUM","https://t.neilpatel.com/v1/lst/universal-script?ph=2bee8320da5f442befa66db82b48e"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://t.neilpatel.com/v1/lst/universal-script?ph=2bee8320da5f442befa66db82b48e"
"RESPONSE","server","nginx","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=G-6QNYJFNF1D&cx=c&gtm=4e63b1"
"RESPONSE","x-frame-options","","","","MEDIUM","https://load.d.neilpatel.com/gtag/js?id=G-6QNYJFNF1D&cx=c&gtm=4e63b1"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://load.d.neilpatel.com/gtag/js?id=G-6QNYJFNF1D&cx=c&gtm=4e63b1"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://d.neilpatel.com/data?v=2&event_name=page_view&dtdc=eyJldmVudF9pZCI6IjE3N"
"RESPONSE","content-security-policy","","","","HIGH","https://d.neilpatel.com/data?v=2&event_name=page_view&dtdc=eyJldmVudF9pZCI6IjE3N"
"RESPONSE","x-frame-options","","","","MEDIUM","https://d.neilpatel.com/data?v=2&event_name=page_view&dtdc=eyJldmVudF9pZCI6IjE3N"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://d.neilpatel.com/data?v=2&event_name=page_view&dtdc=eyJldmVudF9pZCI6IjE3N"
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/assets/hinted-Geomanist-Medium-Cf5ih73x.woff2"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/assets/hinted-Geomanist-Medium-Cf5ih73x.woff2"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/assets/seo_tip11-Dct8e7St.png"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/assets/seo_tip11-Dct8e7St.png"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/assets/hinted-Geomanist-Regular-urYec3Iv.woff2"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/assets/hinted-Geomanist-Regular-urYec3Iv.woff2"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://ubersuggest.zendesk.com/embeddable/config"
"RESPONSE","content-security-policy","","","","HIGH","https://ubersuggest.zendesk.com/embeddable/config"
"RESPONSE","x-frame-options","","","","MEDIUM","https://ubersuggest.zendesk.com/embeddable/config"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://ubersuggest.zendesk.com/embeddable/config"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://ubersuggest.zendesk.com/embeddable/config"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0"
"RESPONSE","content-security-policy","","","","HIGH","https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0"
"RESPONSE","x-frame-options","","","","MEDIUM","https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://dev.visualwebsiteoptimizer.com/v.gif?cd=0&a=500967&d=app.neilpatel.com&u"
"RESPONSE","x-frame-options","","","","MEDIUM","https://dev.visualwebsiteoptimizer.com/v.gif?cd=0&a=500967&d=app.neilpatel.com&u"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://dev.visualwebsiteoptimizer.com/v.gif?cd=0&a=500967&d=app.neilpatel.com&u"
"RESPONSE","server","gnv03c","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1846027494&t=pageview&_"
"RESPONSE","content-security-policy","","","","HIGH","https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1846027494&t=pageview&_"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1846027494&t=pageview&_"
"RESPONSE","server","Golfe2","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://bat.bing.com/p/action/136027005.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://bat.bing.com/p/action/136027005.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://bat.bing.com/p/action/136027005.js"
"RESPONSE","strict-transport-security","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","content-security-policy","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","x-frame-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","server","Golfe2","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","content-security-policy","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","x-frame-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120"
"RESPONSE","server","Golfe2","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544"
"RESPONSE","content-security-policy","","","","HIGH","https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544"
"RESPONSE","x-frame-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544"
"RESPONSE","server","Golfe2","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://www.googletagmanager.com/gtag/js?id=AW-10841102949"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.googletagmanager.com/gtag/js?id=AW-10841102949"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.googletagmanager.com/gtag/js?id=AW-10841102949"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://www.googletagmanager.com/gtag/js?id=AW-10841102949"
"RESPONSE","server","Google Tag Manager","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/348714864/?rand"
